year,age,sex,pop
1950,0,M,8812309
1950,5,M,7044163
1950,10,M,5889578
1950,15,M,5667770
1950,20,M,6104795
1950,25,M,6407134
1950,30,M,6044505
1950,35,M,5750957
1950,40,M,5327980
1950,45,M,4728064
1950,50,M,4286749
1950,55,M,3781547
1950,60,M,3303803
1950,65,M,2613480
1950,70,M,1673111
1950,75,M,1022797
1950,80,M,489418
1950,85,M,209034
1950,90,M,63020
1950,95,M,11804
1950,100,M,1200
1960,0,M,10581516
1960,5,M,9844448
1960,10,M,8834697
1960,15,M,6956779
1960,20,M,5741275
1960,25,M,5749333
1960,30,M,6183400
1960,35,M,6403171
1960,40,M,5945555
1960,45,M,5563890
1960,50,M,5032494
1960,55,M,4515242
1960,60,M,3573066
1960,65,M,2973003
1960,70,M,2150147
1960,75,M,1408591
1960,80,M,690280
1960,85,M,280335
1960,90,M,68509
1960,95,M,13257
1960,100,M,1614
1970,0,M,9002242
1970,5,M,10375283
1970,10,M,10747638
1970,15,M,9896528
1970,20,M,8241105
1970,25,M,7093585
1970,30,M,6087607
1970,35,M,5808766
1970,40,M,6148839
1970,45,M,6224141
1970,50,M,5595928
1970,55,M,4974308
1970,60,M,4201942
1970,65,M,3409671
1970,70,M,2350270
1970,75,M,1638884
1970,80,M,911938
1970,85,M,360347
1970,90,M,97378
1970,95,M,17481
1970,100,M,1722
1980,0,M,8547621
1980,5,M,8690319
1980,10,M,9692466
1980,15,M,10985213
1980,20,M,10929571
1980,25,M,9998052
1980,30,M,8794381
1980,35,M,6783284
1980,40,M,5926516
1980,45,M,5417424
1980,50,M,5632385
1980,55,M,5520304
1980,60,M,4789296
1980,65,M,4094181
1980,70,M,2933125
1980,75,M,2150709
1980,80,M,943891
1980,85,M,505849
1980,90,M,155004
1980,95,M,28952
1980,100,M,3239
1990,0,M,9842675
1990,5,M,9211947
1990,10,M,8903179
1990,15,M,9222214
1990,20,M,10034894
1990,25,M,10946788
1990,30,M,11140973
1990,35,M,10118461
1990,40,M,8767559
1990,45,M,6691326
1990,50,M,5724290
1990,55,M,5045424
1990,60,M,4982953
1990,65,M,4549437
1990,70,M,3539616
1990,75,M,2522557
1990,80,M,1393091
1990,85,M,685818
1990,90,M,176250
1990,95,M,44397
1990,100,M,5504
2000,0,M,10000905
2000,5,M,10671510
2000,10,M,10607728
2000,15,M,10223642
2000,20,M,9705899
2000,25,M,9761952
2000,30,M,10517304
2000,35,M,11448082
2000,40,M,11213322
2000,45,M,10037915
2000,50,M,8544729
2000,55,M,6375046
2000,60,M,5262559
2000,65,M,4378558
2000,70,M,3878913
2000,75,M,3053384
2000,80,M,1883372
2000,85,M,858119
2000,90,M,274235
2000,95,M,58808
2000,100,M,5606
2010,0,M,10682016
2010,5,M,10560883
2010,10,M,10692048
2010,15,M,11397394
2010,20,M,11105992
2010,25,M,10481350
2010,30,M,9937116
2010,35,M,9973477
2010,40,M,10561122
2010,45,M,11274976
2010,50,M,10963059
2010,55,M,9620421
2010,60,M,7986626
2010,65,M,5718019
2010,70,M,4359146
2010,75,M,3183160
2010,80,M,2331970
2010,85,M,1258649
2010,90,M,436668
2010,95,M,79016
2010,100,M,7802
2020,0,M,10055063
2020,5,M,10246393
2020,10,M,10777513
2020,15,M,10834321
2020,20,M,11322732
2020,25,M,12144455
2020,30,M,11702514
2020,35,M,10858871
2020,40,M,10118582
2020,45,M,9969099
2020,50,M,10319535
2020,55,M,10702065
2020,60,M,10049886
2020,65,M,8465274
2020,70,M,6645519
2020,75,M,4326986
2020,80,M,2805623
2020,85,M,1538659
2020,90,M,703131
2020,95,M,179003
2020,100,M,20792
2030,0,M,10634887
2030,5,M,10447753
2030,10,M,10147063
2030,15,M,10527667
2030,20,M,11419590
2030,25,M,11582280
2030,30,M,11877823
2030,35,M,12446994
2030,40,M,11813360
2030,45,M,10811699
2030,50,M,9902315
2030,55,M,9517927
2030,60,M,9533698
2030,65,M,9489286
2030,70,M,8435830
2030,75,M,6520004
2030,80,M,4409666
2030,85,M,2209849
2030,90,M,923240
2030,95,M,250140
2030,100,M,41360
2040,0,M,10672622
2040,5,M,10745385
2040,10,M,10743385
2040,15,M,10761907
2040,20,M,10874686
2040,25,M,11389040
2040,30,M,12068766
2040,35,M,11971140
2040,40,M,12052527
2040,45,M,12431017
2040,50,M,11621801
2040,55,M,10422873
2040,60,M,9292827
2040,65,M,8639847
2040,70,M,8280334
2040,75,M,7684003
2040,80,M,6032387
2040,85,M,3721875
2040,90,M,1698292
2040,95,M,436104
2040,100,M,66450
2050,0,M,10639285
2050,5,M,10696967
2050,10,M,10786939
2050,15,M,11068898
2050,20,M,11492067
2050,25,M,11654664
2050,30,M,11565218
2050,35,M,11811458
2050,40,M,12272815
2050,45,M,12007042
2050,50,M,11908754
2050,55,M,12048230
2050,60,M,11005318
2050,65,M,9601378
2050,70,M,8254156
2050,75,M,7233917
2050,80,M,6225667
2050,85,M,4730743
2050,90,M,2591871
2050,95,M,844296
2050,100,M,139524
1950,0,F,8424578
1950,5,F,6740604
1950,10,F,5684493
1950,15,F,5549266
1950,20,F,6144930
1950,25,F,6464906
1950,30,F,6098963
1950,35,F,5811561
1950,40,F,5354257
1950,45,F,4754626
1950,50,F,4349461
1950,55,F,3853162
1950,60,F,3381455
1950,65,F,2871965
1950,70,F,1867607
1950,75,F,1193194
1950,80,F,566626
